Model Type,Data Type,Dataset,hyperparams,AUC
FFNN,Marker,Zeller_fecal_colorectal_cancer,"[128, 256, 64, 0.001, 0.5]",0.8814814814814815
FFNN,Marker,Quin_gut_liver_cirrhosis,"[256, 64, 128, 0.001, 0.3]",0.9547101449275364
FFNN,Marker,metahit,"[128, 256, 64, 0.1, 0.3]",0.9294117647058824
FFNN,Marker,t2dmeta_long,"[1024, 256, 32, 0.001, 0.3]",0.773109243697479
FFNN,Marker,WT2D,"[1024, 128, 64, 0.001, 0.3]",0.9191919191919192
FFNN,Marker,Chatelier_gut_obesity,"[128, 256, 32, 0.001, 0.3]",0.773356401384083
